"state","year","quarter","district","topuser_count","amount"
"madhya-pradesh",2019,4,"sehore","1629869","2294177801"
"madhya-pradesh",2019,4,"dewas","1251392","2061011652"
"madhya-pradesh",2019,4,"sagar","1218814","1853137602"
"madhya-pradesh",2019,4,"dhar","1194971","1868318601"
"madhya-pradesh",2019,4,"rewa","1160674","2078184265"
"madhya-pradesh",2020,1,"indore","20249473","30491290764"
"madhya-pradesh",2020,1,"bhopal","18872294","26955303214"
"madhya-pradesh",2020,1,"jabalpur","3486010","5963024021"
"madhya-pradesh",2020,1,"gwalior","2793829","4742983279"
"madhya-pradesh",2020,1,"ujjain","1956388","2984071095"
"madhya-pradesh",2020,1,"sehore","1747508","2672516077"
"madhya-pradesh",2020,1,"chhindwara","1550995","2660677488"
"madhya-pradesh",2020,1,"dewas","1550696","2464387871"
